iter	Passed	Remaining
0	113	113287
1	180	89872
2	271	90300
3	355	88614
4	422	84018
5	463	76712
6	520	73862
7	586	72746
8	650	71677
9	718	71089
10	791	71171
11	868	71540
12	966	73399
13	1034	72890
14	1102	72428
15	1171	72017
16	1226	70904
17	1287	70245
18	1348	69633
19	1425	69833
20	1494	69675
21	1578	70161
22	1664	70716
23	1749	71158
24	1810	70603
25	1881	70473
26	1942	69991
27	2007	69696
28	2066	69196
29	2128	68808
30	2157	67446
31	2217	67084
32	2292	67180
33	2374	67464
34	2434	67123
35	2500	66944
36	2560	66651
37	2625	66460
38	2692	66339
39	2755	66121
40	2846	66584
41	2940	67077
42	3102	69040
43	3164	68752
44	3228	68509
45	3290	68239
46	3352	67974
47	3414	67713
48	3482	67580
49	3554	67528
50	3621	67381
51	3694	67356
52	3779	67533
53	3832	67141
54	3924	67425
55	3966	66865
56	4033	66726
57	4094	66496
58	4152	66233
59	4211	65972
60	4251	65442
61	4307	65167
62	4372	65034
63	4489	65666
64	4555	65524
65	4580	64819
66	4642	64646
67	4680	64147
68	4749	64084
69	4776	63456
70	4842	63360
71	4927	63514
72	4995	63435
73	5108	63929
74	5176	63847
75	5216	63417
76	5280	63297
77	5342	63147
78	5402	62981
79	5448	62652
80	5516	62582
81	5591	62601
82	5657	62502
83	5733	62522
84	5809	62535
85	5882	62523
86	5928	62213
87	5971	61887
88	6037	61800
89	6104	61724
90	6167	61610
91	6230	61487
92	6293	61383
93	6351	61217
94	6448	61431
95	6489	61110
96	6559	61068
97	6613	60866
98	6637	60409
99	6698	60285
100	6763	60203
101	6834	60168
102	6896	60061
103	6961	59975
104	6990	59584
105	7067	59609
106	7166	59806
107	7230	59720
108	7277	59485
109	7339	59386
110	7399	59262
111	7463	59175
112	7525	59072
113	7591	58999
114	7660	58950
115	7729	58906
116	7795	58835
117	7878	58885
118	7910	58566
119	8015	58782
120	8032	58348
121	8071	58087
122	8099	57750
123	8116	57337
124	8177	57239
125	8201	56887
126	8257	56762
127	8314	56641
128	8391	56656
129	8434	56449
130	8535	56620
131	8601	56562
132	8664	56483
133	8723	56375
134	8790	56321
135	8818	56025
136	8846	55727
137	8901	55601
138	8966	55542
139	9006	55325
140	9073	55277
141	9194	55554
142	9258	55484
143	9325	55436
144	9385	55340
145	9446	55254
146	9508	55176
147	9575	55124
148	9629	54999
149	9662	54755
150	9726	54685
151	9814	54756
